k,x,scalar_root,reduced_kirchhoff,reduced_norm,full_verified,full_kirchhoff,full_norm,vertices,edges
93,0.016891889429801032,0.8288205597896271,1.1102230246251565e-16,2.220446049250313e-16,True,3.9968028886505635e-15,9.547918011776346e-15,744,1116
95,0.016536205183050493,0.8288911898190987,1.5612511283791264e-16,4.440892098500626e-16,True,1.659263004771816e-14,1.0436096431476471e-14,760,1140
97,0.016195192256744588,0.8289588389291149,9.020562075079397e-17,8.881784197001252e-16,True,9.870576578308032e-15,1.021405182655144e-14,776,1164
99,0.015867961171991508,0.8290236918588165,3.469446951953614e-18,1.5543122344752192e-15,True,5.218048215738236e-15,1.2545520178264269e-14,792,1188
101,0.015553692933266857,0.8290859183965362,2.42861286636753e-16,2.220446049250313e-16,True,2.346560445953827e-14,1.4432899320127035e-15,808,1212
103,0.015251632182019931,0.829145674861739,6.071532165918825e-17,6.661338147750939e-16,True,2.1996293675385914e-15,1.5543122344752192e-15,824,1236
105,0.014961081133158772,0.8292031054141786,1.1102230246251565e-16,4.440892098500626e-16,True,2.1874863032067537e-15,4.218847493575595e-15,840,1260
107,0.014681394191918244,0.8292583432133124,9.020562075079397e-17,2.220446049250313e-16,True,7.995340500777104e-15,2.4424906541753444e-15,856,1284
109,0.0144119731636707,0.8293115114475783,4.597017211338539e-17,2.220446049250313e-16,True,6.3265365168874155e-15,8.881784197001252e-16,872,1308
111,0.014152262981850981,0.8293627242502614,1.457167719820518e-16,4.440892098500626e-16,True,1.680947048221526e-14,8.992806499463768e-15,888,1332
113,0.013901747889769321,0.829412087516257,4.85722573273506e-17,6.661338147750939e-16,True,6.697767340746452e-15,7.327471962526033e-15,904,1356
115,0.013659948021026923,0.8294596996320196,1.5785983631388945e-16,1.6653345369377348e-15,True,1.882001499087238e-14,9.547918011776346e-15,920,1380
117,0.01342641633081376,0.8295056521292742,2.411265631607762e-16,1.5543122344752192e-15,True,2.8052213330020948e-14,7.438494264988549e-15,936,1404
119,0.013200735836787924,0.8295500302716117,1.3010426069826053e-16,7.771561172376096e-16,True,1.6797327417883423e-14,6.8833827526759706e-15,952,1428
121,0.012982517133700083,0.829592913581881,2.6020852139652106e-17,9.992007221626409e-16,True,6.772360450213455e-15,1.6209256159527285e-14,968,1452
123,0.012771396150590676,0.8296343763172218,1.5265566588595902e-16,8.881784197001252e-16,True,1.8464396678297135e-14,1.1102230246251565e-14,984,1476
125,0.012567032123379578,0.8296744878977073,2.671474153004283e-16,5.551115123125783e-16,True,3.433191231305699e-14,1.0880185641326534e-14,1000,1500
127,0.012369105759093899,0.8297133132937985,1.3357370765021415e-16,4.440892098500626e-16,True,1.917389857997165e-14,1.1102230246251565e-15,1016,1524
129,0.012177317570927323,0.829750913377148,1.8388068845354155e-16,8.881784197001252e-16,True,2.5370330836160804e-14,2.6645352591003757e-15,1032,1548
131,0.011991386365866732,0.8297873452387396,7.112366251504909e-17,2.220446049250313e-16,True,8.546982566137729e-15,2.9976021664879227e-15,1048,1572
133,0.01181104786882011,0.8298226624778547,3.9898639947466563e-17,2.220446049250313e-16,True,7.509617927503598e-15,2.220446049250313e-15,1064,1596
135,0.011636053469084666,0.8298569154649382,2.7755575615628914e-16,2.220446049250313e-16,True,3.3790678588552225e-14,1.1102230246251565e-14,1080,1620
137,0.011466169076648587,0.8298901515810756,1.1102230246251565e-16,1.1102230246251565e-15,True,6.328271240363392e-15,1.554312234475219e-14,1096,1644
139,0.011301174077260117,0.8299224154364715,1.1102230246251565e-16,4.440892098500626e-16,True,1.3515230601335304e-14,1.099120794378905e-14,1112,1668
141,0.01114086037645383,0.8299537490700449,3.165870343657673e-17,2.220446049250313e-16,True,2.220446049250313e-15,5.329070518200751e-15,1128,1692
143,0.010985031523822065,0.8299841921320228,1.0408340855860843e-16,6.661338147750939e-16,True,1.6752224607508026e-14,5.995204332975845e-15,1144,1716
145,0.01083350190978116,0.830013782051191,6.245004513516506e-17,4.440892098500626e-16,True,5.329070518200751e-15,5.218048215738236e-15,1160,1740
147,0.010686096027926022,0.8300425541882925,2.931682674400804e-16,2.220446049250313e-16,True,4.1217029789208937e-14,2.531308496145357e-14,1176,1764
149,0.010542647796808425,0.8300705419768869,2.185751579730777e-16,1.2212453270876722e-15,True,3.252606517456513e-14,2.3314683517128287e-15,1192,1788
151,0.010402999935627925,0.8300977770528551,1.3530843112619095e-16,2.220446049250313e-16,True,1.8561541192951836e-14,3.1086244689504383e-15,1208,1812
153,0.0102670033889007,0.8301242893735997,6.938893903907228e-17,8.881784197001252e-16,True,1.0805592531859531e-14,1.4210854715202004e-14,1224,1836
155,0.01013451679568131,0.8301501073278883,1.682681771697503e-16,6.661338147750939e-16,True,2.6223814786341393e-14,7.327471962526033e-15,1240,1860
157,0.010005405999363311,0.8301752578371812,2.8275992658421956e-16,1.3322676295501878e-15,True,4.326400349086157e-14,5.329070518200751e-15,1256,1884
159,0.009879543594484824,0.830199766449207,1.6479873021779667e-17,1.1102230246251565e-15,True,4.328135072562134e-15,2.7755575615628914e-15,1272,1908
161,0.00975680850732038,0.8302236574244692,1.1102230246251565e-16,8.881784197001252e-16,True,4.107825191113079e-15,9.880984919163893e-15,1288,1932
